gender,age,ht_3,ht_5,ht_10,ht_25,ht_50,ht_75,ht_90,ht_95,ht_97,wt_3,wt_5,wt_10,wt_25,wt_50,wt_75,wt_90,wt_95,wt_97,bmi_3,bmi_5,bmi_10,bmi_25,bmi_50,bmi_75,bmi_85,bmi_90,bmi_95,bmi_97
M,0,17.68704724,17.9403189,18.32846063,18.97219291,19.68066142,20.38238583,21.00847638,21.38079134,21.62165354,5.192874384,5.570863096,6.115179365,6.945900023,7.782756138,8.551890736,9.198761518,9.568696754,9.802816375,,,,,,,,,,
M,0.041666667,18.88902362,19.11735827,19.4715748,20.07054724,20.74644882,21.43328346,22.06080315,22.44058268,22.68891339,6.171941716,6.535939911,7.075749936,7.93089117,8.82532755,9.672600494,10.4017521,10.8249708,11.09502573,,,,,,,,,,
M,0.125,20.55062598,20.75831102,21.08411417,21.64531496,22.29465748,22.97267323,23.6088189,24.00183071,24.26216929,7.969013459,8.322107602,8.863809192,9.763981993,10.75749841,11.74473386,12.62840067,13.15519241,13.49652711,,,,,,,,,,
M,0.208333333,21.75717323,21.95805118,22.27469291,22.82456693,23.46809055,24.14877165,24.79589764,25.19995669,25.46945276,9.573211815,9.927966038,10.48181949,11.42737881,12.50656455,13.61484686,14.63642588,15.25843737,15.66658088,,,,,,,,,,
M,0.291666667,22.72853937,22.92812598,23.2434252,23.79304331,24.43976378,25.12812205,25.78684252,26.20035039,26.47712598,11.00744279,11.37013364,11.94199223,12.93407784,14.09059063,15.30495044,16.44801284,17.15503227,17.62346332,,,,,,,,,,
M,0.375,23.55342126,23.75451575,24.07248031,24.62759449,25.28222835,25.98083071,26.65120079,27.07298425,27.35572441,12.29112908,12.66499515,13.25795857,14.29689236,15.52457248,16.83298579,18.08271873,18.86452108,19.38620251,,,,,,,,,,
M,0.458333333,24.27710236,24.48134252,24.80431496,25.36829134,26.03358661,26.74383858,27.42567717,27.85483465,28.14259055,13.4410721,13.82776245,14.44330117,15.52852096,16.82218756,18.21464319,19.55803059,20.40511394,20.97322688,,,,,,,,,,
M,0.541666667,24.92607874,25.13451181,25.46399213,26.03896063,26.7166063,27.4392874,28.1323189,28.5681378,28.86018898,14.47207367,14.87235109,15.51094793,16.64123456,17.99620503,19.46411819,20.88980185,21.79362991,22.40191544,,,,,,,,,,
M,0.625,25.51730315,25.73064567,26.06764173,26.65501969,27.34609449,28.08163386,28.7855315,29.22742913,29.52322441,15.39733725,15.81142882,16.47296694,17.64665812,19.05856952,20.59443568,22.09251907,23.04557629,23.68846553,,,,,,,,,,
M,0.708333333,26.06233465,26.28109449,26.62633071,27.22709449,27.93229921,28.6808937,29.39531496,29.84281102,30.14191732,16.22872811,16.65653683,17.34051136,18.55566704,20.02041877,21.61760644,23.17950696,24.17528972,24.84791928,,,,,,,,,,
M,0.791666667,26.56942913,26.79399606,27.14799606,27.76283858,28.48262205,29.24433071,29.96893701,30.42163386,30.72369685,16.97694968,17.41816249,18.12382608,19.37834965,20.89208143,22.54470867,24.16300999,25.1958965,25.89409966,,,,,,,,,,
M,0.875,27.04472441,27.27538976,27.63855118,28.26797244,29.00261811,29.77740945,30.51187402,30.9694252,31.27416142,17.65168025,18.1058474,18.83229394,20.12401387,21.68311672,23.38599167,25.05429376,26.11952205,26.83983754,,,,,,,,,,
M,0.958333333,27.49291339,27.72990945,28.10254331,28.74689764,29.4965748,30.28434646,31.02835433,31.49046457,31.79764567,18.26167215,18.7282469,19.47447991,20.80120479,22.40233431,24.15086253,25.86371999,26.95734379,27.69681743,,,,,,,,,,
M,1.041666667,27.91766929,28.16118504,28.54352362,29.2030748,29.96786614,30.76848819,31.52173228,31.98814961,32.29757874,18.81483335,19.29321164,20.0581751,21.41775543,23.05778989,24.84798542,26.60083469,27.71956911,28.475864,,,,,,,,,,
M,1.125,28.32192913,28.57211811,28.96435433,29.63929134,30.4192126,31.23252362,31.99472441,32.46522441,32.77674016,19.31831124,19.80785152,20.59046296,21.98080656,23.65696151,25.48531902,27.2743461,28.41558969,29.18680986,,,,,,,,,,
M,1.208333333,28.70808268,28.96507874,29.36735827,30.05781496,30.85284252,31.67866142,32.44954724,32.92393701,33.23740945,19.7785433,20.27858419,21.07775894,22.49686842,24.20655123,26.07016061,27.89230109,29.05395946,29.83869394,,,,,,,,,,
M,1.291666667,29.0781063,29.34201181,29.75446457,30.46052362,31.2706063,32.10874016,32.88806299,33.36616535,33.68147638,20.20132989,20.71120118,21.52587,22.97183175,24.71282017,26.60916815,28.46197489,29.64252686,30.43971745,,,,,,,,,,
M,1.375,29.43364961,29.70455906,30.12728346,30.849,31.67405118,32.52430709,33.31182677,33.79349213,34.11054331,20.59187392,21.1109054,21.9400255,23.41108024,25.18132396,27.10838231,28.99006957,30.18841282,30.99737608,,,,,,,,,,
M,1.458333333,29.77611024,30.05410236,30.48717323,31.2245748,32.06450394,32.9266811,33.72216929,34.20726378,34.52597244,20.95483373,21.48237064,22.32493011,23.819442,25.61719938,27.57335871,29.48262577,30.69809891,31.51846006,,,,,,,,,,
M,1.541666667,30.10667717,30.39182283,30.83530709,31.58839764,32.44308661,33.31698819,34.12024016,34.60864173,34.92893701,21.29436946,21.82977245,22.68483432,24.20128219,26.02505408,28.00910185,29.945133,31.17744944,32.0090762,,,,,,,,,,
M,1.625,30.42637795,30.71874016,31.17268898,31.94146063,32.81077953,33.69620866,34.5070315,34.99862992,35.32044488,21.61418046,22.15684988,23.02350805,24.56050297,26.40907684,28.42013121,30.38259574,31.63177753,32.47480217,,,,,,,,,,
M,1.708333333,30.7361063,31.03573622,31.50018898,32.28461417,33.16843701,34.06520472,34.88340551,35.37810236,35.70138976,21.9175494,22.46688559,23.3443023,24.90067584,26.77299346,28.81052532,30.79946734,32.06584516,32.92062043,,,,,,,,,,
M,1.791666667,31.03664567,31.34358661,31.81857874,32.61861811,33.51681102,34.42472047,35.25012992,35.74783858,36.07255118,22.20737977,22.76285582,23.65025947,25.22493135,27.12022111,29.18398794,31.19980429,32.4839293,33.3509843,,,,,,,,,,
M,1.875,31.3286811,31.64297244,32.12852756,32.9441378,33.85655512,34.77542126,35.60788189,36.10851575,36.43461417,22.48617601,23.04731794,23.94402508,25.53606937,27.45375807,29.54380397,31.58717807,32.88986598,33.7698621,,,,,,,,,,
M,1.958333333,31.6128189,31.9345,32.43063386,33.26175984,34.18825984,35.11790551,35.95725591,36.46075197,36.78820079,22.75621992,23.32256475,24.22795809,25.83660317,27.77629398,29.8928835,31.96478538,33.28702827,34.18082531,,,,,,,,,,
F,0,17.75388976,17.94315354,18.24383465,18.77301181,19.40409449,20.08610236,20.74901575,21.17043701,21.45483071,5.322199597,5.617162321,6.056580566,6.756862676,7.493913439,8.195716738,8.802104083,9.154986583,9.38048614,,,,,,,,,,
F,0.041666667,18.68864567,18.88316535,19.18995276,19.72317323,20.34786614,21.00929921,21.63866929,22.03186614,22.29420472,6.077954357,6.381144722,6.838217564,7.578663441,8.372106179,9.139459444,9.810836782,10.20482442,10.45779575,,,,,,,,,,
F,0.125,20.06181496,20.26770079,20.58908268,21.13810236,21.76619291,22.41392126,23.01422047,23.38153937,23.62337795,7.500763194,7.821131958,8.311763525,9.124908952,10.01950627,10.90573926,11.69690242,12.16767036,12.47237089,,,,,,,,,,
F,0.208333333,21.11387795,21.33034252,21.66592126,22.23277559,22.87158268,23.5198622,24.11144094,24.46915748,24.70294094,8.813643064,9.150581752,9.671760534,10.54870987,11.5314501,12.52242458,13.4209351,13.96149911,14.31365849,,,,,,,,,,
F,0.291666667,21.99188976,22.21785433,22.56650394,23.1509685,23.8030748,24.45799213,25.04979528,25.40501969,25.63612992,10.02525151,10.37741751,10.92593358,11.85896183,12.91898722,14.00267039,14.9975228,15.60148506,15.99708869,,,,,,,,,,
F,0.375,22.75775591,22.99225197,23.35288583,23.95427559,24.62074803,25.28546063,25.88226772,26.23879134,26.47007087,11.14333777,11.50919225,12.08196796,13.0643312,14.19243526,15.35853814,16.44011369,17.10175322,17.53715685,,,,,,,,,,
